baia;trat;dia;hora;repousar;comer;explorar
1;SE;1;3;13;2;1
1;SE;8;3;9;2;5
1;SE;14;3;9;2;5
1;SE;20;3;8;2;6
1;SE;27;3;11;2;3
2;SE;1;3;15;1;0
2;SE;8;3;4;2;10
2;SE;14;3;5;2;7
2;SE;20;3;11;2;1
2;SE;27;3;5;2;7
3;SE;1;3;10;3;3
3;SE;8;3;11;3;2
3;SE;14;3;8;2;6
3;SE;20;3;10;1;5
3;SE;27;3;12;2;2
4;SE;1;3;9;3;4
4;SE;8;3;13;2;1
4;SE;14;3;7;2;7
4;SE;20;3;10;1;5
4;SE;27;3;6;3;7
5;CE;1;3;6;3;4
5;CE;8;3;10;2;3
5;CE;14;3;9;1;5
5;CE;20;3;12;1;2
5;CE;27;3;10;1;5
6;CE;1;3;8;4;2
6;CE;8;3;9;1;5
6;CE;14;3;10;1;4
6;CE;20;3;7;2;5
6;CE;27;3;13;1;2
7;CE;1;3;10;1;1
7;CE;8;3;11;1;3
7;CE;14;3;11;2;2
7;CE;20;3;10;2;3
7;CE;27;3;10;1;5
8;CE;1;3;8;3;2
8;CE;8;3;7;2;5
8;CE;14;3;12;1;3
8;CE;20;3;10;1;3
8;CE;27;3;11;2;1
