id;hour;density;plant;y
1;24;control;A;36
1;48;control;A;31
1;72;control;A;31
2;24;control;A;8
2;48;control;A;6
2;72;control;A;9
3;24;control;A;12
3;48;control;A;16
3;72;control;A;15
4;24;control;A;15
4;48;control;A;14
4;72;control;A;10
5;24;control;A;22
5;48;control;A;22
5;72;control;A;14
6;24;control;A;16
6;48;control;A;18
6;72;control;A;16
7;24;control;A;26
7;48;control;A;28
7;72;control;A;25
8;24;control;A;20
8;48;control;A;15
8;72;control;A;12
9;24;control;A;16
9;48;control;A;17
9;72;control;A;17
10;24;control;A;24
10;48;control;A;22
10;72;control;A;7
11;24;low;A;10
11;48;low;A;9
11;72;low;A;6
12;24;low;A;5
12;48;low;A;0
12;72;low;A;0
13;24;low;A;21
13;48;low;A;3
13;72;low;A;4
14;24;low;A;5
14;48;low;A;1
14;72;low;A;1
15;24;low;A;18
15;48;low;A;12
15;72;low;A;7
16;24;low;A;3
16;48;low;A;1
16;72;low;A;0
17;24;low;A;0
17;48;low;A;1
17;72;low;A;4
18;24;low;A;13
18;48;low;A;1
18;72;low;A;0
19;24;low;A;24
19;48;low;A;16
19;72;low;A;0
20;24;low;A;22
20;48;low;A;16
20;72;low;A;16
21;24;high;A;13
21;48;high;A;7
21;72;high;A;10
22;24;high;A;5
22;48;high;A;1
22;72;high;A;1
23;24;high;A;0
23;48;high;A;0
23;72;high;A;0
24;24;high;A;5
24;48;high;A;1
24;72;high;A;2
25;24;high;A;2
25;48;high;A;2
25;72;high;A;0
26;24;high;A;9
26;48;high;A;7
26;72;high;A;0
27;24;high;A;14
27;48;high;A;1
27;72;high;A;2
28;24;high;A;7
28;48;high;A;2
28;72;high;A;2
29;24;high;A;14
29;48;high;A;6
29;72;high;A;0
30;24;high;A;11
30;48;high;A;7
30;72;high;A;7
1;24;control;B;9
1;48;control;B;10
1;72;control;B;9
2;24;control;B;4
2;48;control;B;4
2;72;control;B;5
3;24;control;B;11
3;48;control;B;12
3;72;control;B;16
4;24;control;B;11
4;48;control;B;10
4;72;control;B;7
5;24;control;B;9
5;48;control;B;13
5;72;control;B;13
6;24;control;B;16
6;48;control;B;22
6;72;control;B;18
7;24;control;B;18
7;48;control;B;16
7;72;control;B;21
8;24;control;B;1
8;48;control;B;3
8;72;control;B;2
9;24;control;B;2
9;48;control;B;0
9;72;control;B;2
10;24;control;B;3
10;48;control;B;0
10;72;control;B;8
11;24;low;B;5
11;48;low;B;6
11;72;low;B;8
12;24;low;B;9
12;48;low;B;10
12;72;low;B;9
13;24;low;B;4
13;48;low;B;6
13;72;low;B;7
14;24;low;B;6
14;48;low;B;6
14;72;low;B;0
15;24;low;B;4
15;48;low;B;6
15;72;low;B;6
16;24;low;B;10
16;48;low;B;10
16;72;low;B;10
17;24;low;B;5
17;48;low;B;6
17;72;low;B;5
18;24;low;B;4
18;48;low;B;5
18;72;low;B;3
19;24;low;B;1
19;48;low;B;1
19;72;low;B;1
20;24;low;B;12
20;48;low;B;11
20;72;low;B;1
21;24;high;B;18
21;48;high;B;20
21;72;high;B;17
22;24;high;B;15
22;48;high;B;12
22;72;high;B;16
23;24;high;B;11
23;48;high;B;9
23;72;high;B;9
24;24;high;B;2
24;48;high;B;3
24;72;high;B;3
25;24;high;B;1
25;48;high;B;0
25;72;high;B;0
26;24;high;B;9
26;48;high;B;6
26;72;high;B;13
27;24;high;B;11
27;48;high;B;0
27;72;high;B;0
28;24;high;B;4
28;48;high;B;7
28;72;high;B;1
29;24;high;B;8
29;48;high;B;11
29;72;high;B;14
30;24;high;B;2
30;48;high;B;3
30;72;high;B;7
1;24;control;C;1
1;48;control;C;3
1;72;control;C;3
2;24;control;C;3
2;48;control;C;5
2;72;control;C;7
3;24;control;C;4
3;48;control;C;4
3;72;control;C;4
4;24;control;C;1
4;48;control;C;2
4;72;control;C;0
5;24;control;C;13
5;48;control;C;10
5;72;control;C;9
6;24;control;C;4
6;48;control;C;6
6;72;control;C;6
7;24;control;C;8
7;48;control;C;7
7;72;control;C;10
8;24;control;C;3
8;48;control;C;4
8;72;control;C;3
9;24;control;C;1
9;48;control;C;0
9;72;control;C;0
10;24;control;C;1
10;48;control;C;1
10;72;control;C;1
11;24;low;C;11
11;48;low;C;12
11;72;low;C;15
12;24;low;C;1
12;48;low;C;1
12;72;low;C;1
13;24;low;C;7
13;48;low;C;10
13;72;low;C;6
14;24;low;C;0
14;48;low;C;0
14;72;low;C;0
15;24;low;C;4
15;48;low;C;3
15;72;low;C;5
16;24;low;C;4
16;48;low;C;5
16;72;low;C;6
17;24;low;C;6
17;48;low;C;5
17;72;low;C;3
18;24;low;C;1
18;48;low;C;3
18;72;low;C;3
19;24;low;C;3
19;48;low;C;6
19;72;low;C;12
20;24;low;C;2
20;48;low;C;0
20;72;low;C;2
21;24;high;C;3
21;48;high;C;5
21;72;high;C;7
22;24;high;C;4
22;48;high;C;2
22;72;high;C;6
23;24;high;C;3
23;48;high;C;2
23;72;high;C;3
24;24;high;C;6
24;48;high;C;4
24;72;high;C;5
25;24;high;C;5
25;48;high;C;4
25;72;high;C;6
26;24;high;C;3
26;48;high;C;4
26;72;high;C;8
27;24;high;C;1
27;48;high;C;1
27;72;high;C;5
28;24;high;C;4
28;48;high;C;1
28;72;high;C;2
29;24;high;C;6
29;48;high;C;4
29;72;high;C;2
30;24;high;C;1
30;48;high;C;0
30;72;high;C;1
1;24;control;D;1
1;48;control;D;1
1;72;control;D;1
2;24;control;D;9
2;48;control;D;9
2;72;control;D;10
3;24;control;D;4
3;48;control;D;4
3;72;control;D;4
4;24;control;D;6
4;48;control;D;9
4;72;control;D;11
5;24;control;D;12
5;48;control;D;13
5;72;control;D;20
6;24;control;D;7
6;48;control;D;8
6;72;control;D;9
7;24;control;D;3
7;48;control;D;4
7;72;control;D;2
8;24;control;D;1
8;48;control;D;0
8;72;control;D;4
9;24;control;D;6
9;48;control;D;7
9;72;control;D;7
10;24;control;D;2
10;48;control;D;5
10;72;control;D;8
11;24;low;D;5
11;48;low;D;5
11;72;low;D;5
12;24;low;D;2
12;48;low;D;2
12;72;low;D;2
13;24;low;D;5
13;48;low;D;7
13;72;low;D;8
14;24;low;D;19
14;48;low;D;22
14;72;low;D;8
15;24;low;D;4
15;48;low;D;6
15;72;low;D;1
16;24;low;D;8
16;48;low;D;9
16;72;low;D;12
17;24;low;D;5
17;48;low;D;6
17;72;low;D;0
18;24;low;D;17
18;48;low;D;16
18;72;low;D;19
19;24;low;D;1
19;48;low;D;1
19;72;low;D;1
20;24;low;D;3
20;48;low;D;1
20;72;low;D;1
21;24;high;D;9
21;48;high;D;9
21;72;high;D;10
22;24;high;D;8
22;48;high;D;9
22;72;high;D;11
23;24;high;D;8
23;48;high;D;8
23;72;high;D;8
24;24;high;D;4
24;48;high;D;7
24;72;high;D;8
25;24;high;D;14
25;48;high;D;12
25;72;high;D;21
26;24;high;D;8
26;48;high;D;13
26;72;high;D;16
27;24;high;D;12
27;48;high;D;18
27;72;high;D;1
28;24;high;D;4
28;48;high;D;0
28;72;high;D;0
29;24;high;D;4
29;48;high;D;4
29;72;high;D;3
30;24;high;D;20
30;48;high;D;21
30;72;high;D;7
1;24;control;none;43
1;48;control;none;45
1;72;control;none;46
2;24;control;none;66
2;48;control;none;66
2;72;control;none;59
3;24;control;none;59
3;48;control;none;54
3;72;control;none;51
4;24;control;none;57
4;48;control;none;55
4;72;control;none;62
5;24;control;none;34
5;48;control;none;32
5;72;control;none;34
6;24;control;none;47
6;48;control;none;36
6;72;control;none;41
7;24;control;none;35
7;48;control;none;35
7;72;control;none;32
8;24;control;none;65
8;48;control;none;68
8;72;control;none;69
9;24;control;none;65
9;48;control;none;66
9;72;control;none;64
10;24;control;none;60
10;48;control;none;62
10;72;control;none;66
11;24;low;none;59
11;48;low;none;58
11;72;low;none;56
12;24;low;none;73
12;48;low;none;77
12;72;low;none;78
13;24;low;none;53
13;48;low;none;64
13;72;low;none;65
14;24;low;none;60
14;48;low;none;61
14;72;low;none;81
15;24;low;none;60
15;48;low;none;63
15;72;low;none;71
16;24;low;none;65
16;48;low;none;65
16;72;low;none;62
17;24;low;none;74
17;48;low;none;72
17;72;low;none;78
18;24;low;none;55
18;48;low;none;65
18;72;low;none;65
19;24;low;none;61
19;48;low;none;66
19;72;low;none;76
20;24;low;none;51
20;48;low;none;62
20;72;low;none;70
21;24;high;none;47
21;48;high;none;49
21;72;high;none;46
22;24;high;none;58
22;48;high;none;66
22;72;high;none;56
23;24;high;none;68
23;48;high;none;71
23;72;high;none;70
24;24;high;none;73
24;48;high;none;75
24;72;high;none;72
25;24;high;none;68
25;48;high;none;72
25;72;high;none;63
26;24;high;none;61
26;48;high;none;60
26;72;high;none;53
27;24;high;none;52
27;48;high;none;70
27;72;high;none;82
28;24;high;none;71
28;48;high;none;80
28;72;high;none;85
29;24;high;none;58
29;48;high;none;65
29;72;high;none;71
30;24;high;none;56
30;48;high;none;59
30;72;high;none;68
