"n","j","k","m","theta","replication","index_form","index"
100,3,3,5,0.01,1,"multinomial",1.31856029171638
100,3,3,5,0.01,1,"mixed",1.3084055014824
100,3,3,5,0.01,1,"mixed_population",1.3084067103246
100,3,3,5,0.01,2,"multinomial",1.30280217597769
100,3,3,5,0.01,2,"mixed",1.29874276875947
100,3,3,5,0.01,2,"mixed_population",1.29874074700565
100,3,3,5,0.01,3,"multinomial",1.21812954028407
100,3,3,5,0.01,3,"mixed",1.21413311608783
100,3,3,5,0.01,3,"mixed_population",1.21413311616482
100,3,3,5,0.01,4,"multinomial",1.44649002688932
100,3,3,5,0.01,4,"mixed",1.443308437031
100,3,3,5,0.01,4,"mixed_population",1.44330841660912
100,3,3,5,0.01,5,"multinomial",1.2296969580835
100,3,3,5,0.01,5,"mixed",1.22391451910724
100,3,3,5,0.01,5,"mixed_population",1.22391509131581
100,3,3,5,0.01,6,"multinomial",1.32116482678816
100,3,3,5,0.01,6,"mixed",1.3129136853422
100,3,3,5,0.01,6,"mixed_population",1.31291380055062
100,3,3,5,0.01,7,"multinomial",1.55345844021529
100,3,3,5,0.01,7,"mixed",1.54967473880464
100,3,3,5,0.01,7,"mixed_population",1.54967827880583
100,3,3,5,0.01,8,"multinomial",1.29972746082693
100,3,3,5,0.01,8,"mixed",1.29641865953475
100,3,3,5,0.01,8,"mixed_population",1.29641865433586
100,3,3,5,0.01,9,"multinomial",1.24158522009123
100,3,3,5,0.01,9,"mixed",1.24121686906274
100,3,3,5,0.01,9,"mixed_population",1.24121684196318
100,3,3,5,0.01,10,"multinomial",1.32329796223034
100,3,3,5,0.01,10,"mixed",1.31614705128911
100,3,3,5,0.01,10,"mixed_population",1.31614705691041
100,3,3,5,0.01,11,"multinomial",1.21357888278176
100,3,3,5,0.01,11,"mixed",1.20678598837138
100,3,3,5,0.01,11,"mixed_population",1.20678571911903
100,3,3,5,0.01,12,"multinomial",1.258571531974
100,3,3,5,0.01,12,"mixed",1.25601520442239
100,3,3,5,0.01,12,"mixed_population",1.25601520381218
100,3,3,5,0.01,13,"multinomial",1.24000817160615
100,3,3,5,0.01,13,"mixed",1.24016372231574
100,3,3,5,0.01,13,"mixed_population",1.24016371555384
100,3,3,5,0.01,14,"multinomial",1.26549779215853
100,3,3,5,0.01,14,"mixed",1.26319924116658
100,3,3,5,0.01,14,"mixed_population",1.26319926974358
100,3,3,5,0.01,15,"multinomial",1.24450120310488
100,3,3,5,0.01,15,"mixed",1.24096906231577
100,3,3,5,0.01,15,"mixed_population",1.24020597863699
100,3,3,5,0.01,16,"multinomial",1.35774216147877
100,3,3,5,0.01,16,"mixed",1.35974645456592
100,3,3,5,0.01,16,"mixed_population",1.35962532007084
100,3,3,5,0.01,17,"multinomial",1.28377386408158
100,3,3,5,0.01,17,"mixed",1.26770476511041
100,3,3,5,0.01,17,"mixed_population",1.26700595303817
100,3,3,5,0.01,18,"multinomial",1.23477244705002
100,3,3,5,0.01,18,"mixed",1.22739475677506
100,3,3,5,0.01,18,"mixed_population",1.22739499815568
100,3,3,5,0.01,19,"multinomial",1.24283007484663
100,3,3,5,0.01,19,"mixed",1.23329448995583
100,3,3,5,0.01,19,"mixed_population",1.23329447488619
100,3,3,5,0.01,20,"multinomial",1.39509048382777
100,3,3,5,0.01,20,"mixed",1.39360864169001
100,3,3,5,0.01,20,"mixed_population",1.39360861889751
100,3,3,5,0.01,21,"multinomial",1.23200106841365
100,3,3,5,0.01,21,"mixed",1.22614291432074
100,3,3,5,0.01,21,"mixed_population",1.22614291968012
100,3,3,5,0.01,22,"multinomial",1.33543762972819
100,3,3,5,0.01,22,"mixed",1.33438561586185
100,3,3,5,0.01,22,"mixed_population",1.33438550946423
100,3,3,5,0.01,23,"multinomial",1.27815176613616
100,3,3,5,0.01,23,"mixed",1.26979064937865
100,3,3,5,0.01,23,"mixed_population",1.26979065176114
100,3,3,5,0.01,24,"multinomial",1.28142521818931
100,3,3,5,0.01,24,"mixed",1.2827481860592
100,3,3,5,0.01,24,"mixed_population",1.28000062471974
100,3,3,5,0.01,25,"multinomial",1.40491082211147
100,3,3,5,0.01,25,"mixed",1.39944627371659
100,3,3,5,0.01,25,"mixed_population",1.39944628437796
100,3,3,5,0.01,26,"multinomial",1.30567081951129
100,3,3,5,0.01,26,"mixed",1.30537526274377
100,3,3,5,0.01,26,"mixed_population",1.30477728748301
100,3,3,5,0.01,27,"multinomial",1.25367270850363
100,3,3,5,0.01,27,"mixed",1.24955478811773
100,3,3,5,0.01,27,"mixed_population",1.24955485675732
100,3,3,5,0.01,28,"multinomial",1.30981401910624
100,3,3,5,0.01,28,"mixed",1.30341762118004
100,3,3,5,0.01,28,"mixed_population",1.30341770956351
100,3,3,5,0.01,29,"multinomial",1.25508241030502
100,3,3,5,0.01,29,"mixed",1.25241133883616
100,3,3,5,0.01,29,"mixed_population",1.25241134909057
100,3,3,5,0.01,30,"multinomial",1.21533394520372
100,3,3,5,0.01,30,"mixed",1.21071378186202
100,3,3,5,0.01,30,"mixed_population",1.21071379301693
100,3,3,5,0.01,31,"multinomial",1.22614079300898
100,3,3,5,0.01,31,"mixed",1.22308975622148
100,3,3,5,0.01,31,"mixed_population",1.22300228165672
